hidden_layer,activation,epoch,eta,beta,alpha,mu,batch_size,test_score,history_loss,history_score
"(64, 64)",ReLu,10,0.001,0.1,0.001,0.85,512,0.1132,"[20.565946489671656, 20.548691972788678, 20.536266178464977, 20.510501147848252, 20.506968240305476, 20.480059888705366, 20.46572857725772, 20.463212059555495, 20.44468845273605, 20.425529663775805, 20.425172901715612]","[0.10836666666666667, 0.10905, 0.10966666666666666, 0.11021666666666667, 0.11095, 0.11176666666666667, 0.11246666666666667, 0.11308333333333333, 0.11353333333333333, 0.11408333333333333, 0.11475]"
"(64, 64)",ReLu,10,0.001,0.1,0,0,512,0.0837,"[21.052021448235617, 21.05507042214056, 21.05316481344997, 21.067647439498387, 21.06409030327598, 21.050496961283145, 21.061168369950412, 21.054054097505585, 21.063963262696593, 21.06663111486341, 21.05507042214055]","[0.08566666666666667, 0.08553333333333334, 0.0854, 0.08541666666666667, 0.0855, 0.08551666666666667, 0.08548333333333333, 0.08543333333333333, 0.08543333333333333, 0.08531666666666667, 0.08531666666666667]"
"(64, 64)",ReLu,10,0.001,0.1,0,0.85,512,0.129,"[20.204406702664738, 20.191702644727542, 20.1849694940208, 20.185223575179542, 20.164007798424414, 20.160323621622613, 20.146857320209158, 20.12106808259663, 20.117002784056712, 20.1034094420639, 20.0942625203491]","[0.12251666666666666, 0.123, 0.12336666666666667, 0.12371666666666667, 0.12428333333333333, 0.12473333333333333, 0.12525, 0.1258, 0.12626666666666667, 0.12671666666666667, 0.12711666666666666]"
"(64, 64)",ReLu,10,0.001,0.2,0.001,0,512,0.1341,"[20.00369779277593, 20.01678971229142, 20.00523576189829, 20.011467495843284, 20.000167633763315, 20.01910343297656, 20.01606121480174, 20.02953427481832, 20.03741755373582, 20.0383136049667, 20.048610661185997]","[0.13426666666666667, 0.13398333333333334, 0.13376666666666667, 0.13378333333333334, 0.1337, 0.13345, 0.13336666666666666, 0.13306666666666667, 0.13286666666666666, 0.13246666666666668, 0.13223333333333334]"
"(64, 64)",ReLu,10,0.001,0.2,0.001,0.85,512,0.1212,"[20.581046616730784, 20.561652421353674, 20.525745262937008, 20.476498992049077, 20.45215279775125, 20.42729856052484, 20.396346487538146, 20.382290907458025, 20.377509392738833, 20.34020557947474, 20.32932629136393]","[0.10915, 0.11, 0.1115, 0.11315, 0.11465, 0.11545, 0.11673333333333333, 0.11778333333333334, 0.11806666666666667, 0.11926666666666667, 0.12025]"
"(64, 64)",ReLu,10,0.001,0.2,0,0,512,0.0819,"[21.05837347720422, 21.068282642395257, 21.069426007609607, 21.091531068420352, 21.099661665500157, 21.08810097277729, 21.104489207516295, 21.09445300174593, 21.10194839592887, 21.107284100262497, 21.099661665500157]","[0.08531666666666667, 0.08488333333333334, 0.08461666666666667, 0.0843, 0.08401666666666667, 0.0838, 0.08373333333333334, 0.08366666666666667, 0.0837, 0.08368333333333333, 0.08358333333333333]"
"(64, 64)",ReLu,10,0.001,0.2,0,0.85,512,0.1374,"[20.057293711751807, 20.037983543687243, 20.014099914765286, 19.99199485395454, 19.971922442413735, 19.949817381602987, 19.93088833527654, 19.90865623388642, 19.90509909766399, 19.882994036853244, 19.86114305720124]","[0.12873333333333334, 0.12965, 0.13076666666666667, 0.13195, 0.13268333333333332, 0.13386666666666666, 0.13455, 0.13501666666666667, 0.13553333333333334, 0.13628333333333334, 0.13716666666666666]"
"(64, 64)",ReLu,10,0.01,0.1,0.001,0,512,0.0784,"[21.259855826837956, 21.257351278908043, 21.242142725488875, 21.236208187454658, 21.226970647025542, 21.224339269153916, 21.21497479155111, 21.208024138125765, 21.203360268721536, 21.191201057084076, 21.190221466029506]","[0.0781, 0.0785, 0.07873333333333334, 0.07906666666666666, 0.0794, 0.07951666666666667, 0.07978333333333333, 0.08023333333333334, 0.08058333333333334, 0.0809, 0.08123333333333334]"
"(64, 64)",ReLu,10,0.01,0.1,0.001,0.85,512,0.1884,"[19.82213663342791, 19.719594031747008, 19.63383450639505, 19.51809544470572, 19.420017079843902, 19.30860150843842, 19.197188010589798, 19.07281846340296, 18.945783156565057, 18.806808151217933, 18.67799852784862]","[0.14075, 0.14488333333333334, 0.14936666666666668, 0.15393333333333334, 0.15823333333333334, 0.1629, 0.16778333333333334, 0.17301666666666668, 0.17836666666666667, 0.18438333333333334, 0.19031666666666666]"
"(64, 64)",ReLu,10,0.01,0.1,0,0,512,0.0773,"[21.292128143248956, 21.290222534558367, 21.280186328787973, 21.259351673770936, 21.23991446512701, 21.237881815857044, 21.221747662276798, 21.203834940585317, 21.197228830457973, 21.181221717457067, 21.17486968848847]","[0.07516666666666667, 0.07546666666666667, 0.07605, 0.07681666666666667, 0.07723333333333333, 0.0779, 0.07853333333333333, 0.0791, 0.07953333333333333, 0.08023333333333334, 0.08058333333333334]"
"(64, 64)",ReLu,10,0.01,0.1,0,0.85,512,0.1731,"[20.57930345239191, 20.447562371583007, 20.291048377796542, 20.136439992700655, 19.993011178589505, 19.849074202160892, 19.68570001708832, 19.515846762467785, 19.365049594753064, 19.178935145972876, 19.02635941014695]","[0.10648333333333333, 0.11188333333333333, 0.1188, 0.12563333333333335, 0.13161666666666666, 0.1382, 0.1452, 0.15226666666666666, 0.15936666666666666, 0.16656666666666667, 0.1736]"
"(64, 64)",ReLu,10,0.01,0.2,0.001,0,512,0.0924,"[21.27065026683411, 21.264492867064, 21.235976650327913, 21.213431651834625, 21.189235415254892, 21.163896090457722, 21.12420143547588, 21.074089705638276, 21.02829759951498, 20.973104716827446, 20.924772234990268]","[0.07893333333333333, 0.07956666666666666, 0.08038333333333333, 0.0813, 0.08221666666666666, 0.08361666666666667, 0.08528333333333334, 0.08733333333333333, 0.08948333333333333, 0.0919, 0.09423333333333334]"
"(64, 64)",ReLu,10,0.01,0.2,0.001,0.85,512,0.2793,"[19.939390122282287, 19.812921786669815, 19.6543406073936, 19.395021955820788, 19.043858282380576, 18.662718023895884, 18.221492403801783, 17.8088556150848, 17.461649271876922, 17.11165256818404, 16.78795778726241]","[0.13706666666666667, 0.14218333333333333, 0.14993333333333334, 0.16071666666666667, 0.17573333333333332, 0.19235, 0.21123333333333333, 0.22908333333333333, 0.24465, 0.25961666666666666, 0.2734333333333333]"
"(64, 64)",ReLu,10,0.01,0.2,0,0,512,0.0848,"[21.335321940235474, 21.312073514210383, 21.28387050558977, 21.255159334651665, 21.217428282578137, 21.19621250582301, 21.16356307692435, 21.135995271200603, 21.094325961166536, 21.068282642395253, 21.024961804829353]","[0.07335, 0.07458333333333333, 0.07581666666666667, 0.077, 0.07821666666666667, 0.07965, 0.08071666666666667, 0.08185, 0.08381666666666666, 0.0851, 0.08706666666666667]"
"(64, 64)",ReLu,10,0.01,0.2,0,0.85,512,0.2302,"[20.31061262701984, 20.053355453791273, 19.82950995293758, 19.562343614517975, 19.30940582098807, 19.0694261665541, 18.81585317012732, 18.548559791128355, 18.281901615026243, 18.029599024393182, 17.779964285926944]","[0.11823333333333333, 0.12883333333333333, 0.13898333333333332, 0.15066666666666667, 0.16136666666666666, 0.17171666666666666, 0.18316666666666667, 0.19435, 0.20651666666666665, 0.2169, 0.2276]"
"(64, 64)",LeakyReLu(0.03),10,0.001,0.1,0.001,0,512,0.101,"[20.819880588267385, 20.81454848696018, 20.822555647058238, 20.816461303173224, 20.821419490085557, 20.814054741781316, 20.814820590925326, 20.81698388670275, 20.818639020921342, 20.80149214978491, 20.814326855698248]","[0.09711666666666667, 0.09713333333333334, 0.09721666666666667, 0.09726666666666667, 0.09726666666666667, 0.0973, 0.09726666666666667, 0.09731666666666666, 0.09731666666666666, 0.09741666666666667, 0.09743333333333333]"
"(64, 64)",LeakyReLu(0.03),10,0.001,0.1,0.001,0.85,512,0.1387,"[19.86840489993289, 19.857883727320704, 19.837708659926616, 19.82884022775576, 19.822385587679744, 19.82368044392991, 19.797788636232074, 19.77634327305283, 19.768364231796127, 19.752000535215128, 19.738304711418827]","[0.13836666666666667, 0.1389, 0.13956666666666667, 0.1401, 0.1406, 0.14105, 0.14175, 0.1424, 0.14296666666666666, 0.14346666666666666, 0.14406666666666668]"
"(64, 64)",LeakyReLu(0.03),10,0.001,0.1,0,0,512,0.1027,"[20.674837968079753, 20.679411428937154, 20.669121142008002, 20.675727252135356, 20.674075724603515, 20.67471092750038, 20.666453289841183, 20.67661653619096, 20.67521908981786, 20.672297156492306, 20.675219089817865]","[0.10201666666666667, 0.10203333333333334, 0.10205, 0.10205, 0.10205, 0.10216666666666667, 0.10216666666666667, 0.1023, 0.10243333333333333, 0.10241666666666667, 0.10243333333333333]"
"(64, 64)",LeakyReLu(0.03),10,0.001,0.1,0,0.85,512,0.082,"[21.005397555606045, 20.996504715049994, 21.021658749765685, 21.019372019336984, 21.02762965699617, 21.029916387424873, 21.03436280770289, 21.045161256949505, 21.043509729417675, 21.047702068536964, 21.048718393171942]","[0.08785, 0.08751666666666667, 0.08728333333333334, 0.08716666666666667, 0.08695, 0.08685, 0.08658333333333333, 0.0864, 0.08618333333333333, 0.086, 0.08588333333333334]"
